datetime,tempmax,tempmin,precip,precipcover,snow,windspeed,cloudcover,description,,
2024-05-15,27.1,-7.3,0.5,100,0.1,7.2,8.8,Clear conditions throughout the day with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-05-16,28.1,-6.5,0.1,100,0,8.6,4.6,Clear conditions throughout the day with afternoon rain.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-17,27.1,-6.1,1.3,100,0,7.6,17.3,Clear conditions throughout the day with rain or snow.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-18,28.1,-4.4,0.7,100,0,8.3,17,Clear conditions throughout the day with rain or snow.,rain,"42705199999,42065099999,remote"
2024-05-19,30.1,-3.6,8.8,100,0.4,10.1,52.1,Becoming cloudy in the afternoon with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-05-20,32.1,-4.7,5.8,100,0.1,10.4,43.4,Becoming cloudy in the afternoon with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-05-21,25.1,-4,2.4,100,0,8.3,22.5,Partly cloudy throughout the day with rain or snow.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-22,35.1,-2.2,0.9,100,0,14.8,14.9,Clear conditions throughout the day with rain or snow.,rain,"42705199999,42065099999,remote"
2024-05-23,29.1,-2,0.6,100,0,11.2,24.4,Partly cloudy throughout the day with rain.,rain,"42705199999,42065099999,remote"
2024-05-24,34.1,-1.5,0.3,100,0,16.6,25.4,Becoming cloudy in the afternoon with rain.,rain,"42705199999,42065099999,remote"
2024-05-25,29.1,-1.7,0.6,100,0,8.6,19.7,Clear conditions throughout the day with rain.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-26,29.1,-1.6,0.6,100,0,6.1,8.4,Clear conditions throughout the day with rain.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-27,37.1,-1.5,0.9,100,0,18.4,9.6,Clear conditions throughout the day with rain.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-28,33.1,-1.7,0.6,100,0,12.2,30.3,Becoming cloudy in the afternoon with rain.,rain,"42705199999,42065099999,remote"
2024-05-29,38.1,-2.2,0.4,100,0,11.2,22.5,Partly cloudy throughout the day with rain or snow.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-30,34.1,-2.5,4.8,100,0,14,54.2,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-31,27.1,-4.5,3.2,100,0.2,8.6,30.8,Becoming cloudy in the afternoon with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-01,30.1,-4.3,4.9,100,0.2,15.5,41.8,Partly cloudy throughout the day with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-02,37.1,-3.8,0.6,100,0,14.8,13.5,Clear conditions throughout the day with rain or snow.,rain,"42705199999,42062099999,42065099999,remote"
2024-06-03,30.1,-4.4,8,100,2.2,7.9,28.3,Becoming cloudy in the afternoon with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-04,31.1,-5.9,9.6,100,0.1,10.1,35.5,Partly cloudy throughout the day with rain or snow.,snow,"42705199999,42065099999,remote"
2024-06-05,32.1,-3.7,16.6,100,4.1,10.1,71.1,Becoming cloudy in the afternoon with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-06,25.1,-2.3,6.9,100,1,12.6,39.7,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-07,30.1,-3.8,4,100,0,10.1,25.4,Becoming cloudy in the afternoon with rain or snow.,rain,"42705199999,42062099999,42065099999,remote"
2024-06-08,26.1,-1.7,4.7,100,0.3,10.1,95.3,Cloudy skies throughout the day with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-09,25.8,-7.8,5,100,0,11.9,29.9,Becoming cloudy in the afternoon with rain or snow.,rain,"42062099999,42065099999,remote"
2024-06-10,25.9,-7.5,4.5,100,0,9.4,39,Partly cloudy throughout the day with rain or snow.,rain,"42062099999,42065099999,remote"
2024-06-11,30.1,-2.9,5.7,100,0.7,10.4,38.6,Becoming cloudy in the afternoon with a chance of rain or snow throughout the day.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-12,31.1,-4.2,2.4,100,0,9.7,22.4,Becoming cloudy in the afternoon with rain or snow.,rain,"42705199999,42062099999,42065099999,remote"
2024-06-13,31.1,-1.2,8.8,100,2.6,9.7,41.5,Becoming cloudy in the afternoon with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-14,32.1,-5.6,11.1,100,3.5,8.3,41.6,Becoming cloudy in the afternoon with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-15,31.1,-3.8,4.4,29.17,0,8.6,44.6,Becoming cloudy in the afternoon with rain or snow.,,
2024-06-16,33.1,-1.2,5.9,33.33,0.3,7.9,34.6,Becoming cloudy in the afternoon with rain or snow.,,
2024-06-17,39.1,-0.4,3.2,20.83,0,22.3,37.2,Becoming cloudy in the afternoon with rain.,,
2024-06-18,36.1,0,5.6,37.5,0,12.2,32.6,Becoming cloudy in the afternoon with rain.,,
2024-06-19,30.1,1.3,9.3,37.5,0.1,14,65.7,Becoming cloudy in the afternoon with a chance of rain or snow throughout the day.,,
2024-06-20,24.2,-1.6,5,37.5,0,11.5,61.5,Partly cloudy throughout the day with rain or snow.,,
2024-06-21,23.1,1.6,11.6,75,0.1,9,99.1,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,,
2024-06-22,30.1,1.2,7.4,66.67,0.5,10.8,76.2,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,,
2024-06-23,31.1,2.5,8.8,66.67,0,5.4,72.1,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-06-24,31.1,2.6,4.8,58.33,0,16.6,43.1,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-06-25,32.1,-1.2,1.1,29.17,0,7.9,20.2,Becoming cloudy in the afternoon with rain.,,
2024-06-26,35.1,2.6,3.7,41.67,0,18.4,42.1,Partly cloudy throughout the day with rain.,,
2024-06-27,27.1,5.3,4.3,37.5,0,9.7,51.7,Partly cloudy throughout the day with rain.,,
2024-06-28,36.1,7,2.6,37.5,0,25.9,56.5,Partly cloudy throughout the day with rain.,,
2024-06-29,35.1,6.9,2.6,33.33,0,25.9,52.1,Partly cloudy throughout the day with rain.,,
2024-06-30,32.1,6.3,1,29.17,0,14.8,57.8,Partly cloudy throughout the day with rain.,,
2024-07-01,35.1,8.5,2.5,58.33,0,14.8,81.4,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-07-02,28.1,7.4,6.2,41.67,0,11.5,72,Partly cloudy throughout the day with rain.,,
2024-07-03,31.1,6.8,1.1,37.5,0,12.2,61.4,Partly cloudy throughout the day with rain.,,
2024-07-04,33.1,7.6,2.8,33.33,0,18.4,67,Partly cloudy throughout the day with rain.,,
2024-07-05,26.1,7.3,5.4,62.5,0,16.6,69.8,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-07-06,25.1,5.1,3.5,66.67,0,13,67.1,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-07-07,30.1,3.7,2.2,50,0,12.6,79.2,Partly cloudy throughout the day with rain.,,
2024-07-08,31.1,5.3,2.8,45.83,0,13.7,62.1,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-07-09,31.1,4.2,1.4,25,0,13,36.2,Becoming cloudy in the afternoon with rain.,,
2024-07-10,23.4,4.9,3,37.5,0,13.3,41,Becoming cloudy in the afternoon with a chance of rain throughout the day.,,
2024-07-11,24.2,3.9,3.8,41.67,0,14,29.2,Becoming cloudy in the afternoon with rain.,,
2024-07-12,19.4,2.8,2.8,50,0,14.4,33.5,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-07-13,26.1,3.2,3.3,41.67,0,16.6,59.9,Partly cloudy throughout the day with rain.,,
2024-07-14,29.1,3.6,3.9,37.5,0,15.5,31.3,Partly cloudy throughout the day with rain.,,
2024-07-15,33.1,4.6,2.9,37.5,0,13.3,39.8,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-07-16,35.1,5.5,1,20.83,0,12.6,22.8,Partly cloudy throughout the day with rain.,,
2024-07-17,31.1,5.9,0.5,16.67,0,18.4,31.2,Partly cloudy throughout the day with rain.,,
2024-07-18,34.1,5.5,1.4,29.17,0,18.4,33.6,Partly cloudy throughout the day with rain.,,
2024-07-19,35.1,5.5,1.4,33.33,0,15.1,48.8,Partly cloudy throughout the day with rain.,,
2024-07-20,35.1,6.8,1.8,20.83,0,16.2,42.2,Partly cloudy throughout the day with rain.,,
2024-07-21,35.1,8.8,4.1,37.5,0,13,51.2,Partly cloudy throughout the day with rain.,,
2024-07-22,33.1,7,2.5,50,0,14.8,61.9,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-07-23,30.1,7,3.4,33.33,0,12.6,60.3,Partly cloudy throughout the day with rain.,,
2024-07-24,34.1,7.3,4.3,37.5,0,14.8,76.4,Partly cloudy throughout the day with rain.,,
2024-07-25,34.1,7,2.6,37.5,0,12.6,59,Partly cloudy throughout the day with rain.,,
2024-07-26,35.1,7.2,1.2,29.17,0,16.6,51.6,Partly cloudy throughout the day with rain.,,
2024-07-27,33.1,9.7,5.1,41.67,0,14.8,80.6,Partly cloudy throughout the day with rain.,,
2024-07-28,30.1,10.5,2.3,62.5,0,8.6,84.3,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-07-29,34.1,10.3,12.1,75,0,13,76.7,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-07-30,29.1,9.8,9.2,50,0,9.7,88.1,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-07-31,34.1,8,3.6,54.17,0,14.8,76.3,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-01,26.1,6.6,22.8,62.5,0,8.3,76.2,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-02,31.1,5.8,3.9,41.67,0,18.4,76.3,Partly cloudy throughout the day with rain.,,
2024-08-03,25.1,8.5,4.7,70.83,0,13,97.1,Cloudy skies throughout the day with a chance of rain throughout the day.,,
2024-08-04,29.1,8,10,75,0,18.4,94.2,Cloudy skies throughout the day with a chance of rain throughout the day.,,
2024-08-05,32.1,7.9,3.8,58.33,0,11.5,88.1,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-06,32.1,9.5,4.4,50,0,13,78.9,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-07,25.1,8.2,4.6,58.33,0,11.9,80.8,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-08,32.1,7.3,2.8,58.33,0,14.8,75.4,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-09,28.1,8.3,2.6,54.17,0,18.4,89.4,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-10,31.1,7.5,16.6,83.33,0,18.4,75.1,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-11,23.1,7,8.8,75,0,10.4,91.9,Cloudy skies throughout the day with a chance of rain throughout the day.,,
2024-08-12,10.7,6.8,3.4,75,0,7.9,89.5,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-13,29.1,6.7,7.1,54.17,0,11.5,62,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-14,32.1,7.7,12.9,66.67,0,24.1,67.3,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-15,30.1,7.8,7.2,62.5,0,13,79.2,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-16,35.1,8.5,13.7,66.67,0,25.9,77.7,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-17,31.1,7.9,9.5,62.5,0,11.2,73.1,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-18,32.1,6.2,5.2,45.83,0,18.4,71.1,Partly cloudy throughout the day with rain.,,
2024-08-19,29.1,7.8,5.9,50,0,18.4,90.3,Cloudy skies throughout the day with a chance of rain throughout the day.,,
2024-08-20,31.1,6.1,2.7,45.83,0,11.2,32.3,Becoming cloudy in the afternoon with a chance of rain throughout the day.,,
2024-08-21,32.1,4.8,1,20.83,0,11.2,28.1,Partly cloudy throughout the day with rain.,,
2024-08-22,33.1,5,2,33.33,0,18.4,31.7,Partly cloudy throughout the day with rain.,,
2024-08-23,32.1,5.1,2.8,41.67,0,14.8,42.3,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-24,29.1,4.5,3.5,37.5,0,12.2,46.3,Partly cloudy throughout the day with rain.,,
2024-08-25,31.1,5.8,7.8,50,0,8.6,70.2,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-08-26,29.1,7.4,8.8,54.17,0,13,91.1,Cloudy skies throughout the day with a chance of rain throughout the day.,,
2024-08-27,29.1,6.3,6,75,0,9.7,92.8,Cloudy skies throughout the day with a chance of rain throughout the day.,,
2024-08-28,30.1,5.9,8.1,58.33,0,13,87.6,Partly cloudy throughout the day with rain.,,
2024-08-29,23.1,6.4,17.7,66.67,0,8.6,96.5,Cloudy skies throughout the day with a chance of rain throughout the day.,,
2024-08-30,29.1,6.1,7.5,83.33,0,13,91.3,Cloudy skies throughout the day with a chance of rain throughout the day.,,
2024-08-31,30.1,6.7,6.7,45.83,0,13.7,48.2,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-09-01,32.1,5.4,5.5,33.33,0,13.7,36.4,Becoming cloudy in the afternoon with rain.,,
2024-09-02,29.1,5.7,4.2,41.67,0,14.8,72.1,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-09-03,32.1,4.6,3.6,33.33,0,18.4,62.3,Partly cloudy throughout the day with rain.,,
2024-09-04,25.1,4.4,6.4,66.67,0,10.4,85.5,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-09-05,31.1,3.4,3.4,41.67,0,14.8,47.6,Partly cloudy throughout the day with rain.,,
2024-09-06,23.1,3.9,7.5,54.17,0,11.9,60.9,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-09-07,30.1,5.3,2.4,50,0,13.3,50.9,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-09-08,31.1,4.3,2,29.17,0,10.8,60.1,Partly cloudy throughout the day with rain.,,
2024-09-09,29.1,3.9,3.7,41.67,0,10.4,35.3,Partly cloudy throughout the day with rain.,,
2024-09-10,23.1,3.4,6.9,41.67,0,15.8,49.3,Partly cloudy throughout the day with rain.,,
2024-09-11,23.1,2.9,7.5,58.33,0,17.6,44.2,Partly cloudy throughout the day with rain.,,
2024-09-12,26.1,2.7,1.5,29.17,0,14.8,47.1,Partly cloudy throughout the day with rain.,,
2024-09-13,25.1,4.3,2.9,37.5,0,13.3,76.4,Partly cloudy throughout the day with a chance of rain throughout the day.,,
2024-09-14,25.1,1.6,3.7,41.67,0,14.8,67.1,Partly cloudy throughout the day with rain.,,
2024-09-15,22.1,1.9,8.1,45.83,0,15.8,58.1,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,,
2024-09-16,28.1,0.7,1.7,25,0,11.9,37.4,Partly cloudy throughout the day with rain.,,
2024-09-17,29.1,0.9,0.2,8.33,0,13.7,21,Becoming cloudy in the afternoon with rain.,,
2024-09-18,23.1,1.6,3.2,33.33,0,14.8,71,Partly cloudy throughout the day with rain or snow.,,
2024-09-19,21.1,1.2,21.2,54.17,0.4,5.4,87.9,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,,
2024-09-20,30.1,-0.2,0,0,0,9.7,3.7,Clear conditions throughout the day.,,
2024-09-21,30.1,4.1,0.2,8.33,0,7.6,6.1,Clear conditions throughout the day with rain.,,
2024-09-22,31.1,5,0.9,16.67,0,10.4,12.6,Clear conditions throughout the day with rain.,,
2024-09-23,13.2,4.9,3.5,37.5,0,10.8,8.9,Clear conditions throughout the day with rain.,,
2024-09-24,14.5,4.7,1.7,29.17,0,11.5,5.8,Clear conditions throughout the day with rain.,,
2024-09-25,14.4,4.3,1.4,25,0,10.8,4.6,Clear conditions throughout the day with rain.,,
2024-09-26,12.4,4.8,2.6,29.17,0,11.5,28.1,Partly cloudy throughout the day with rain.,,
2024-09-27,10.6,2.6,2.8,41.67,0,11.5,32.9,Partly cloudy throughout the day with rain.,,
2024-09-28,9.5,0.4,1.8,29.17,0,11.5,5.5,Clear conditions throughout the day with rain or snow.,,
2024-09-29,11.6,1,0.1,4.17,0,9.4,0.3,Clear conditions throughout the day with afternoon rain.,,
2024-09-30,12.5,1.4,0.2,8.33,0,10.4,4.6,Clear conditions throughout the day with rain.,,
2024-10-01,12.2,2.1,0.4,12.5,0,10.8,4.3,Clear conditions throughout the day with afternoon rain.,,
2024-10-02,10.3,0.7,0.4,12.5,0,11.2,6.3,Clear conditions throughout the day with rain.,,
2024-10-03,10.1,0.2,0.4,16.67,0.1,9.7,1.4,Clear conditions throughout the day with rain or snow.,,
2024-10-04,8.4,-0.3,2.1,33.33,0,13,12.4,Clear conditions throughout the day with rain or snow.,,
2024-10-05,7.7,-1.3,1.8,29.17,0,14.8,21.5,Becoming cloudy in the afternoon with rain or snow.,,
2024-10-06,7.1,-1.7,0.4,12.5,0,9,13.6,Clear conditions throughout the day with rain.,,
2024-10-07,8.3,-1,0.3,12.5,0,11.9,13.5,Clear conditions throughout the day with afternoon rain or snow.,,
2024-10-08,7.1,-0.9,1.4,25,0,14.8,44.7,Becoming cloudy in the afternoon with rain or snow.,,
2024-10-09,5.6,-2.3,0.2,8.33,0,18,16.8,Clear conditions throughout the day with rain or snow.,,
2024-10-10,4.8,-3.3,1.3,25,0,12.6,23.2,Becoming cloudy in the afternoon with rain or snow.,,
